No.	施設名	住所	電話	定休日	集客手法
1	㈲カスミヤ	中区田町224-21	053-452-2504	水曜定休	・当店にある椅子はご自由にお使いください。
・お買い物して下さったお客様には駐車券サービス
・冷茶サービス	　
2	餃子専門店　ビワの木	中区新津町574	053-463-6567	月曜定休	なし	　
3	ホリデー車検高丘株式会社カーポイント	中区高丘西2-1-5	053-482-7888	日曜祭日定休（第一、三の日曜は除く）	テーブル・椅子の設置、キッズコーナー設置、飲料サービス、駐車場無料	　
4	SHOP　ONPU♪	浜北区貴布祢676-4	053-545-6585	水曜&第三、四の土曜日定休	冷茶サービスします	　
5	フルーツShomeido(正明堂)	東区植松町70-14	053-461-6994	水曜定休	エコバッグ持参でポイントサービス、ギフト用高級フルーツのB品を安価で販売しています。	　
6	松作商店	中区肴町314-26	053-452-7219	日曜日定休	椅子の設置、ダイエット百草水10％引	　
7	プレステージ	中区早出町1200-16	053-461-4410	水曜定休	クーラー全開＆冷たい麦茶をご用意して、皆様のお越しをお待ちしております。店内ご自由におくつろぎください。	　
8	遠鉄百貨店	中区砂山町320-2	053-457-0001	　	　	　
9	株式会社遠鉄ストア富塚店	中区富塚町209-120	053-455-0505	　	　	　
10	株式会社遠鉄ストア西ヶ崎店	東区西ヶ崎542-1	053-433-7811	　	　	　
11	株式会社遠鉄ストア笠井店	東区笠井町1197-22	053-435-6611	　	　	　
12	株式会社遠鉄ストア鴨江店	中区鴨江2-43-1	053-456-0753	　	　	　
13	株式会社遠鉄ストア佐鳴台店	中区佐鳴台4-16-10	053-448-9251	　	　	　
14	株式会社遠鉄ストア立野店	南区立野町543	053-426-1185	　	　	　
15	株式会社遠鉄ストア浜北店	浜北区中瀬16-1	053-580-0311	　	　	　
16	株式会社遠鉄ストア祝田店	北区細江町中川1900-1	053-523-2811	　	　	　
17	株式会社遠鉄ストア初生店	北区初生町1212	053-439-5011	　	　	　
18	株式会社遠鉄ストア大人見店	西区大人見町3367-1	053-485-7311	　	　	　
19	株式会社遠鉄ストア天王店	東区天王町1982-1	053-466-0311	　	　	　
20	株式会社遠鉄ストア篠原店	西区篠原町14000	053-440-4111	　	　	　
21	株式会社遠鉄ストア新橋店	南区新橋町398	053-449-4111	　	　	　
22	株式会社遠鉄ストア大平台店	西区大平台3-20-1	053-484-0611	　	　	　
23	株式会社遠鉄ストア天竜店	天竜区次郎八新田6-2	053-922-2311	　	　	　
24	株式会社遠鉄ストア桜台店	西区桜台3-28-1	053-414-1711	　	　	　
25	株式会社遠鉄ストア　フードワンきらりタウン店	浜北区染地台5-7-28	053-584-0811	　	　	　
